"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U103","RPR-0521RS","T","Rohm_ALS","152.3000","76.0250","90","SMD-8P Ambient Light Sensors ROHS, JLC#C509781"
"C106","100nF","B","Capacitor,_0402","152.7250","79.1500","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"TP12","RH-5015","B","Test_Point","94.5000","79.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"R601","10kO","B","Resistor,_0603,_Yageo","100.9500","82.6250","270","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 10kO, #RC0603FR-0710KL, JLC#C98220"
"C105","100nF","B","Capacitor,_0402","152.7250","72.9000","180","Ceramic Capacitor, 16V, 10% +/- Tol, X7R, 0.1uF, SMD, 0402, #CL05B104KO5NNNC, JLC#C1525"
"TP11","RH-5015","B","Test_Point","138.9000","76.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP10","RH-5015","B","Test_Point","109.5000","68.5000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP9","RH-5015","B","Test_Point","120.9500","68.5000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP8","RH-5015","B","Test_Point","115.2000","64.0000","0","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP7","RH-5015","B","Test_Point","94.5000","76.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP6","RH-5015","B","Test_Point","148.5000","82.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP5","RH-5015","B","Test_Point","148.5000","85.2000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP4","RH-5015","B","Test_Point","94.5250","85.2000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP3","RH-5015","B","Test_Point","94.5000","82.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP2","RH-5015","B","Test_Point","148.5000","76.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"TP1","RH-5015","B","Test_Point","148.5000","79.1000","180","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798"
"U204","TPS7A2033PDBVR","B","TPS7A20_-_SOT-23-5L","134.6500","72.1750","90","300mA Fixed 3.3V Positive electrode 6V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS, JLC#C2862740"
